trade_id,created_at,sentiment_data,symbol
0,2019-06-21,37.14,FXE
0,2019-06-20,45.16,FXE
0,2019-06-19,49.61,FXE
0,2019-06-18,52.51,FXE
0,2019-06-17,49.1,FXE
0,2019-06-14,50.87,FXE
0,2019-06-13,43.02,FXE
0,2019-06-12,42.23,FXE
0,2019-06-11,42.05,FXE
0,2019-06-10,44.89,FXE
0,2019-06-07,38.75,FXE
0,2019-06-06,40.83,FXE
0,2019-06-05,47.59,FXE
0,2019-06-04,44.47,FXE
0,2019-06-03,47.18,FXE
0,2019-05-31,56.37,FXE
0,2019-05-30,61.86,FXE
0,2019-05-29,61.67,FXE
0,2019-05-28,55.66,FXE
0,2019-05-27,52.1,FXE
0,2019-05-24,51.41,FXE
0,2019-05-23,50.01,FXE
0,2019-05-22,58.54,FXE
0,2019-05-21,56.65,FXE
0,2019-05-20,53.85,FXE
0,2019-05-17,55.98,FXE
0,2019-05-16,52.69,FXE
0,2019-05-15,50.39,FXE
0,2019-05-14,51.16,FXE
0,2019-05-13,49.28,FXE
0,2019-05-10,47.18,FXE
0,2019-05-09,52.46,FXE
0,2019-05-08,52.06,FXE
0,2019-05-07,53.13,FXE
0,2019-05-06,55.48,FXE
0,2019-05-03,51.76,FXE
0,2019-05-02,56.03,FXE
0,2019-05-01,53.6,FXE
0,2019-04-30,52.65,FXE
0,2019-04-29,56.53,FXE
0,2019-04-26,64.16,FXE
0,2019-04-25,64.64,FXE
0,2019-04-24,63.85,FXE
0,2019-04-23,54.97,FXE
0,2019-04-22,51.01,FXE
0,2019-04-19,54.06,FXE
0,2019-04-18,57.24,FXE
0,2019-04-17,51.24,FXE
0,2019-04-16,52.87,FXE
0,2019-04-15,51.66,FXE
0,2019-04-12,50.06,FXE
0,2019-04-11,57.27,FXE
0,2019-04-10,57.08,FXE
0,2019-04-09,58.78,FXE
0,2019-04-08,59.64,FXE
0,2019-04-05,65.79,FXE
0,2019-04-04,65.91,FXE
0,2019-04-03,63.98,FXE
0,2019-04-02,67.96,FXE
0,2019-04-01,66.73,FXE
0,2019-03-29,65.14,FXE
0,2019-03-28,61.45,FXE
0,2019-03-27,56.83,FXE
0,2019-03-26,50.93,FXE
0,2019-03-25,46.26,FXE
0,2019-03-22,48.63,FXE
0,2019-03-21,42.56,FXE
0,2019-03-20,37.52,FXE
0,2019-03-19,42.28,FXE
0,2019-03-18,43.19,FXE
0,2019-03-15,43.83,FXE
0,2019-03-14,48.87,FXE
0,2019-03-13,45.12,FXE
0,2019-03-12,52.32,FXE
0,2019-03-11,57.61,FXE
0,2019-03-08,61.48,FXE
0,2019-03-07,64.26,FXE
0,2019-03-06,55.68,FXE
0,2019-03-05,56.33,FXE
0,2019-03-04,51.3,FXE
0,2019-03-01,48.71,FXE
0,2019-02-28,49.9,FXE
0,2019-02-27,52.51,FXE
0,2019-02-26,50.55,FXE
0,2019-02-25,54.58,FXE
0,2019-02-22,56.47,FXE
0,2019-02-21,56.95,FXE
0,2019-02-20,57.08,FXE
0,2019-02-19,58.09,FXE
0,2019-02-18,62.47,FXE
0,2019-02-15,64.35,FXE
0,2019-02-14,64.17,FXE
0,2019-02-13,67.57,FXE
0,2019-02-12,62.8,FXE
0,2019-02-11,66.29,FXE
0,2019-02-08,61.86,FXE
0,2019-02-07,58.48,FXE
0,2019-02-06,52.81,FXE
0,2019-02-05,50.03,FXE
0,2019-02-04,45,FXE
0,2019-02-01,43.49,FXE
0,2019-01-31,44.13,FXE
0,2019-01-30,39.55,FXE
0,2019-01-29,45.95,FXE
0,2019-01-28,48.01,FXE
0,2019-01-25,48.51,FXE
0,2019-01-24,65.12,FXE
0,2019-01-23,58.43,FXE
0,2019-01-22,60.2,FXE
0,2019-01-21,58.51,FXE
0,2019-01-18,59.43,FXE
0,2019-01-17,56.09,FXE
0,2019-01-16,53.8,FXE
0,2019-01-15,51.96,FXE
0,2019-01-14,45.53,FXE
0,2019-01-11,46,FXE
0,2019-01-10,42.63,FXE
0,2019-01-09,36.39,FXE
0,2019-01-08,42.91,FXE
0,2019-01-07,36.29,FXE
0,2019-01-04,46.01,FXE
0,2019-01-03,47.24,FXE
0,2019-01-02,53.98,FXE
0,2018-12-31,39.52,FXE
0,2018-12-28,38.69,FXE
0,2018-12-27,40.05,FXE
0,2018-12-26,47.61,FXE
0,2018-12-24,42.42,FXE
0,2018-12-21,46.87,FXE
0,2018-12-20,39.15,FXE
0,2018-12-19,40.82,FXE
0,2018-12-18,45.97,FXE
0,2018-12-17,46.58,FXE
0,2018-12-14,56.66,FXE
0,2018-12-13,50.4,FXE
0,2018-12-12,49.83,FXE
0,2018-12-11,55.57,FXE
0,2018-12-10,52.03,FXE
0,2018-12-07,48.72,FXE
0,2018-12-06,47.9,FXE
0,2018-12-05,51.96,FXE
0,2018-12-04,53.81,FXE
0,2018-12-03,51.32,FXE
0,2018-11-30,55.85,FXE
0,2018-11-29,49.07,FXE
0,2018-11-28,51.65,FXE
0,2018-11-27,54.89,FXE
0,2018-11-26,52.32,FXE
0,2018-11-23,50.71,FXE
0,2018-11-22,47.67,FXE
0,2018-11-21,47.83,FXE
0,2018-11-20,46.41,FXE
0,2018-11-19,42.53,FXE
0,2018-11-16,44.85,FXE
0,2018-11-15,52.99,FXE
0,2018-11-14,54.27,FXE
0,2018-11-13,54.95,FXE
0,2018-11-12,60.92,FXE
0,2018-11-09,59.16,FXE
0,2018-11-08,55.69,FXE
0,2018-11-07,52.53,FXE
0,2018-11-06,52.38,FXE
0,2018-11-05,55.59,FXE
0,2018-11-02,55.8,FXE
0,2018-11-01,54.12,FXE
0,2018-10-31,61.02,FXE
0,2018-10-30,59.66,FXE
0,2018-10-29,57.24,FXE
0,2018-10-26,56.11,FXE
0,2018-10-25,55.88,FXE
0,2018-10-24,57.59,FXE
0,2018-10-23,53.55,FXE
0,2018-10-22,54.03,FXE
0,2018-10-19,48.94,FXE
0,2018-10-18,53.13,FXE
0,2018-10-17,50.27,FXE
0,2018-10-16,46.45,FXE
0,2018-10-15,45.16,FXE
0,2018-10-12,46.79,FXE
0,2018-10-11,46.53,FXE
0,2018-10-10,49.93,FXE
0,2018-10-09,50.21,FXE
0,2018-10-08,51.24,FXE
0,2018-10-05,49,FXE
0,2018-10-04,48.35,FXE
0,2018-10-03,51.57,FXE
0,2018-10-02,48.04,FXE
0,2018-10-01,45.52,FXE
0,2018-09-28,43.19,FXE
0,2018-09-27,40.03,FXE
0,2018-09-26,34.87,FXE
0,2018-09-25,33.33,FXE
0,2018-09-24,33.92,FXE
0,2018-09-21,32.98,FXE
0,2018-09-20,31.26,FXE
0,2018-09-19,36.9,FXE
0,2018-09-18,35.42,FXE
0,2018-09-17,35.65,FXE
0,2018-09-14,40.62,FXE
0,2018-09-13,35.99,FXE
0,2018-09-12,37.81,FXE
0,2018-09-11,40.35,FXE
0,2018-09-10,39.48,FXE
0,2018-09-07,44.97,FXE
0,2018-09-06,39.67,FXE
0,2018-09-05,38.24,FXE
0,2018-09-04,39.58,FXE
0,2018-09-03,37.21,FXE
0,2018-08-31,39.02,FXE
0,2018-08-30,34.88,FXE
0,2018-08-29,33.54,FXE
0,2018-08-28,33.21,FXE
0,2018-08-27,34.7,FXE
0,2018-08-24,36.83,FXE
0,2018-08-23,39.51,FXE
0,2018-08-22,38.03,FXE
0,2018-08-21,41.31,FXE
0,2018-08-20,44.95,FXE
0,2018-08-17,45.54,FXE
0,2018-08-16,47.54,FXE
0,2018-08-15,50.54,FXE
0,2018-08-14,53.09,FXE
0,2018-08-13,51.02,FXE
0,2018-08-10,53.82,FXE
0,2018-08-09,53.34,FXE
0,2018-08-08,48.1,FXE
0,2018-08-07,50.33,FXE
0,2018-08-06,54.2,FXE
0,2018-08-03,55.07,FXE
0,2018-08-02,53.33,FXE
0,2018-08-01,43.73,FXE
0,2018-07-31,39.47,FXE
0,2018-07-30,41.2,FXE
0,2018-07-27,46.76,FXE
0,2018-07-26,48.34,FXE
0,2018-07-25,41.04,FXE
0,2018-07-24,44.16,FXE
0,2018-07-23,42.39,FXE
0,2018-07-20,39.58,FXE
0,2018-07-19,45.95,FXE
0,2018-07-18,46.62,FXE
0,2018-07-17,46.19,FXE
0,2018-07-16,41.04,FXE
0,2018-07-13,43.01,FXE
0,2018-07-12,44.81,FXE
0,2018-07-11,44.76,FXE
0,2018-07-10,41.27,FXE
0,2018-07-09,41.96,FXE
0,2018-07-06,41.36,FXE
0,2018-07-05,43.45,FXE
0,2018-07-04,45.46,FXE
0,2018-07-03,44.1,FXE
0,2018-07-02,46.19,FXE
0,2018-06-29,42.56,FXE
0,2018-06-28,49.06,FXE
0,2018-06-27,49.68,FXE
0,2018-06-26,44.75,FXE
0,2018-06-25,42.63,FXE
0,2018-06-22,45.07,FXE
0,2018-06-21,47.73,FXE
0,2018-06-20,48.13,FXE
0,2018-06-19,47.66,FXE
0,2018-06-18,46.34,FXE
0,2018-06-15,48.49,FXE
0,2018-06-14,54.74,FXE
0,2018-06-13,41.01,FXE
0,2018-06-12,45.32,FXE
0,2018-06-11,43,FXE
0,2018-06-08,43.82,FXE
0,2018-06-07,40.61,FXE
0,2018-06-06,42.53,FXE
0,2018-06-05,45.21,FXE
0,2018-06-04,46.99,FXE
0,2018-06-01,44.49,FXE
0,2018-05-31,44.83,FXE
0,2018-05-30,43.55,FXE
0,2018-05-29,52.92,FXE
0,2018-05-28,53.45,FXE
0,2018-05-25,53.47,FXE
0,2018-05-24,48.75,FXE
0,2018-05-23,52.32,FXE
0,2018-05-22,48.55,FXE
0,2018-05-21,44.87,FXE
0,2018-05-18,48.02,FXE
0,2018-05-17,45.89,FXE
0,2018-05-16,44.4,FXE
0,2018-05-15,45.67,FXE
0,2018-05-14,44.94,FXE
0,2018-05-11,43.17,FXE
0,2018-05-10,43.89,FXE
0,2018-05-09,44.8,FXE
0,2018-05-08,45.98,FXE
0,2018-05-07,45.15,FXE
0,2018-05-04,43.3,FXE
0,2018-05-03,43.01,FXE
0,2018-05-02,44.13,FXE
0,2018-05-01,42.93,FXE
0,2018-04-30,41,FXE
0,2018-04-27,36.32,FXE
0,2018-04-26,40.88,FXE
0,2018-04-25,39.59,FXE
0,2018-04-24,36.57,FXE
0,2018-04-23,37.58,FXE
0,2018-04-20,32.04,FXE
0,2018-04-19,29.01,FXE
0,2018-04-18,26.39,FXE
0,2018-04-17,27.36,FXE
0,2018-04-16,26.81,FXE
0,2018-04-13,28.26,FXE
0,2018-04-12,28.82,FXE
0,2018-04-11,26.38,FXE
0,2018-04-10,28.7,FXE
0,2018-04-09,30.7,FXE
0,2018-04-06,32.24,FXE
0,2018-04-05,35.5,FXE
0,2018-04-04,32.15,FXE
0,2018-04-03,33.74,FXE
0,2018-04-02,32.36,FXE
0,2018-03-30,29.79,FXE
0,2018-03-29,31.21,FXE
0,2018-03-28,29.69,FXE
0,2018-03-27,27,FXE
0,2018-03-26,23.24,FXE
0,2018-03-23,26.58,FXE
0,2018-03-22,30.74,FXE
0,2018-03-21,26.64,FXE
0,2018-03-20,32.97,FXE
0,2018-03-19,27.22,FXE
0,2018-03-16,29.4,FXE
0,2018-03-15,30.63,FXE
0,2018-03-14,27.48,FXE
0,2018-03-13,24.4,FXE
0,2018-03-12,28.3,FXE
0,2018-03-09,29.39,FXE
0,2018-03-08,29.61,FXE
0,2018-03-07,25.04,FXE
0,2018-03-06,25.83,FXE
0,2018-03-05,26.56,FXE
0,2018-03-02,26.83,FXE
0,2018-03-01,31.11,FXE
0,2018-02-28,34,FXE
0,2018-02-27,34.79,FXE
0,2018-02-26,32.09,FXE
0,2018-02-23,33.05,FXE
0,2018-02-22,31.14,FXE
0,2018-02-21,32.4,FXE
0,2018-02-20,30.29,FXE
0,2018-02-19,25.37,FXE
0,2018-02-16,25.4,FXE
0,2018-02-15,22.56,FXE
0,2018-02-14,25.51,FXE
0,2018-02-13,28.63,FXE
0,2018-02-12,31.06,FXE
0,2018-02-09,32.26,FXE
0,2018-02-08,32.01,FXE
0,2018-02-07,32.5,FXE
0,2018-02-06,24.89,FXE
0,2018-02-05,26.43,FXE
0,2018-02-02,23.41,FXE
0,2018-02-01,21.04,FXE
0,2018-01-31,25.85,FXE
0,2018-01-30,25.99,FXE
0,2018-01-29,26.03,FXE
0,2018-01-26,23.67,FXE
0,2018-01-25,22.76,FXE
