Time,SSI,symbol
8/3/2018,55.07,6E
8/2/2018,53.33,6E
8/1/2018,43.73,6E
7/31/2018,39.47,6E
7/30/2018,41.2,6E
7/27/2018,46.76,6E
7/26/2018,48.34,6E
7/25/2018,41.04,6E
7/24/2018,44.16,6E
7/23/2018,42.39,6E
7/20/2018,39.58,6E
7/19/2018,45.95,6E
7/18/2018,46.62,6E
7/17/2018,46.19,6E
7/16/2018,41.04,6E
7/13/2018,43.01,6E
7/12/2018,44.81,6E
7/11/2018,44.76,6E
7/10/2018,41.27,6E
7/9/2018,41.96,6E
7/6/2018,41.36,6E
7/5/2018,43.45,6E
7/4/2018,45.46,6E
7/3/2018,44.1,6E
7/2/2018,46.19,6E
6/29/2018,42.56,6E
6/28/2018,49.06,6E
6/27/2018,49.68,6E
6/26/2018,44.75,6E
6/25/2018,42.63,6E
6/22/2018,45.07,6E
6/21/2018,47.73,6E
6/20/2018,48.13,6E
6/19/2018,47.66,6E
6/18/2018,46.34,6E
6/15/2018,48.49,6E
6/14/2018,54.74,6E
6/13/2018,41.01,6E
6/12/2018,45.32,6E
6/11/2018,43,6E
6/8/2018,43.82,6E
6/7/2018,40.61,6E
6/6/2018,42.53,6E
6/5/2018,45.21,6E
6/4/2018,46.99,6E
6/1/2018,44.49,6E
5/31/2018,44.83,6E
5/30/2018,43.55,6E
5/29/2018,52.92,6E
5/28/2018,53.45,6E
5/25/2018,53.47,6E
5/24/2018,48.75,6E
5/23/2018,52.32,6E
5/22/2018,48.55,6E
5/21/2018,44.87,6E
5/18/2018,48.02,6E
5/17/2018,45.89,6E
5/16/2018,44.4,6E
5/15/2018,45.67,6E
5/14/2018,44.94,6E
5/11/2018,43.17,6E
5/10/2018,43.89,6E
5/9/2018,44.8,6E
5/8/2018,45.98,6E
5/7/2018,45.15,6E
5/4/2018,43.3,6E
5/3/2018,43.01,6E
5/2/2018,44.13,6E
5/1/2018,42.93,6E
4/30/2018,41,6E
4/27/2018,36.32,6E
4/26/2018,40.88,6E
4/25/2018,39.59,6E
4/24/2018,36.57,6E
4/23/2018,37.58,6E
4/20/2018,32.04,6E
4/19/2018,29.01,6E
4/18/2018,26.39,6E
4/17/2018,27.36,6E
4/16/2018,26.81,6E
4/13/2018,28.26,6E
4/12/2018,28.82,6E
4/11/2018,26.38,6E
4/10/2018,28.7,6E
4/9/2018,30.7,6E
4/6/2018,32.24,6E
4/5/2018,35.5,6E
4/4/2018,32.15,6E
4/3/2018,33.74,6E
4/2/2018,32.36,6E
3/30/2018,29.79,6E
3/29/2018,31.21,6E
3/28/2018,29.69,6E
3/27/2018,27,6E
3/26/2018,23.24,6E
3/23/2018,26.58,6E
3/22/2018,30.74,6E
3/21/2018,26.64,6E
3/20/2018,32.97,6E
3/19/2018,27.22,6E
3/16/2018,29.4,6E
3/15/2018,30.63,6E
3/14/2018,27.48,6E
3/13/2018,24.4,6E
3/12/2018,28.3,6E
3/9/2018,29.39,6E
3/8/2018,29.61,6E
3/7/2018,25.04,6E
3/6/2018,25.83,6E
3/5/2018,26.56,6E
3/2/2018,26.83,6E
3/1/2018,31.11,6E
2/28/2018,34,6E
2/27/2018,34.79,6E
2/26/2018,32.09,6E
2/23/2018,33.05,6E
2/22/2018,31.14,6E
2/21/2018,32.4,6E
2/20/2018,30.29,6E
2/19/2018,25.37,6E
2/16/2018,25.4,6E
2/15/2018,22.56,6E
2/14/2018,25.51,6E
2/13/2018,28.63,6E
2/12/2018,31.06,6E
2/9/2018,32.26,6E
2/8/2018,32.01,6E
2/7/2018,32.5,6E
2/6/2018,24.89,6E
2/5/2018,26.43,6E
2/2/2018,23.41,6E
2/1/2018,21.04,6E
1/31/2018,25.85,6E
1/30/2018,25.99,6E
1/29/2018,26.03,6E
1/26/2018,23.67,6E
1/25/2018,22.76,6E
1/24/2018,22.2,6E
1/23/2018,21.3,6E
1/22/2018,22.66,6E
1/19/2018,23.34,6E
1/18/2018,21.64,6E
1/17/2018,23.95,6E
1/16/2018,21.81,6E
1/15/2018,22.49,6E
1/12/2018,19.93,6E
1/11/2018,21.5,6E
1/10/2018,25.23,6E
1/9/2018,27.84,6E
1/8/2018,24.89,6E
1/5/2018,20.43,6E
1/4/2018,19.03,6E
1/3/2018,21.64,6E
1/2/2018,20.74,6E
1/1/2018,18.75,6E
12/29/2017,18.75,6E
12/28/2017,21.01,6E
12/27/2017,23.69,6E
12/26/2017,25.53,6E
12/22/2017,24.51,6E
12/21/2017,24.61,6E
12/20/2017,23.76,6E
12/19/2017,26.16,6E
12/18/2017,31.28,6E
12/15/2017,34.37,6E
12/14/2017,32.89,6E
12/13/2017,29.71,6E
12/12/2017,36.45,6E
12/11/2017,33.56,6E
12/8/2017,32.89,6E
12/7/2017,32.82,6E
12/6/2017,31.56,6E
12/5/2017,29.91,6E
12/4/2017,27.85,6E
12/1/2017,25.62,6E
11/30/2017,25.88,6E
11/29/2017,29.17,6E
11/28/2017,27.11,6E
11/27/2017,24.29,6E
11/24/2017,21.69,6E
11/23/2017,23.86,6E
11/22/2017,26.04,6E
11/21/2017,30.13,6E
11/20/2017,30.71,6E
11/17/2017,26.89,6E
11/16/2017,27.36,6E
11/15/2017,25.36,6E
11/14/2017,24,6E
11/13/2017,27.85,6E
11/10/2017,29.08,6E
11/9/2017,30.85,6E
11/8/2017,33.55,6E
11/7/2017,33.75,6E
11/6/2017,33.5,6E
11/3/2017,32.46,6E
11/2/2017,30.23,6E
11/1/2017,32.43,6E
10/31/2017,32.57,6E
10/30/2017,33.87,6E
10/27/2017,37.05,6E
10/26/2017,36.78,6E
10/25/2017,28.73,6E
10/24/2017,32.05,6E
10/23/2017,32.98,6E
10/20/2017,30.47,6E
10/19/2017,27.1,6E
10/18/2017,31.21,6E
10/17/2017,32.78,6E
10/16/2017,31.01,6E
10/13/2017,30.55,6E
10/12/2017,29.73,6E
10/11/2017,28.2,6E
10/10/2017,30.98,6E
10/9/2017,33.66,6E
10/6/2017,33.69,6E
10/5/2017,36.27,6E
10/4/2017,31.95,6E
10/3/2017,31.93,6E
10/2/2017,33.83,6E
9/29/2017,29.71,6E
9/28/2017,33.11,6E
9/27/2017,34.34,6E
9/26/2017,33.84,6E
9/25/2017,33.47,6E
9/22/2017,25.64,6E
9/21/2017,27.26,6E
9/20/2017,30.63,6E
9/19/2017,26.22,6E
9/18/2017,28.05,6E
9/15/2017,28.08,6E
9/14/2017,30.94,6E
9/13/2017,33.69,6E
9/12/2017,29.88,6E
9/11/2017,28.92,6E
9/8/2017,24.23,6E
9/7/2017,22.83,6E
9/6/2017,27.78,6E
9/5/2017,27.85,6E
9/4/2017,28.13,6E
9/1/2017,30.49,6E
8/31/2017,30.27,6E
8/30/2017,29.54,6E
8/29/2017,24.79,6E
8/28/2017,20.43,6E
8/25/2017,19.78,6E
8/24/2017,24.24,6E
8/23/2017,23.33,6E
8/22/2017,28.31,6E
8/21/2017,21.98,6E
8/18/2017,24.96,6E
8/17/2017,26.97,6E
8/16/2017,26.61,6E
8/15/2017,27.13,6E
8/14/2017,28.71,6E
8/11/2017,23.34,6E
8/10/2017,23.98,6E
8/9/2017,23.88,6E
8/8/2017,24.74,6E
8/7/2017,24.24,6E
8/4/2017,25.56,6E
8/3/2017,22.93,6E
8/2/2017,23.24,6E
8/1/2017,25.15,6E
7/31/2017,21.24,6E
7/28/2017,21.74,6E
7/27/2017,27.54,6E
7/26/2017,21.46,6E
7/25/2017,22.82,6E
7/24/2017,22.63,6E
7/21/2017,20.14,6E
7/20/2017,20.21,6E
7/19/2017,26.44,6E
7/18/2017,21.66,6E
7/17/2017,22.15,6E
7/14/2017,21.97,6E
7/13/2017,26.9,6E
7/12/2017,26.24,6E
7/11/2017,20.62,6E
7/10/2017,24.42,6E
7/7/2017,23.05,6E
7/6/2017,22.1,6E
7/5/2017,29.08,6E
7/4/2017,28.7,6E
7/3/2017,27.55,6E
6/30/2017,20.32,6E
6/29/2017,19.32,6E
6/28/2017,19.99,6E
6/27/2017,18.76,6E
6/26/2017,28.75,6E
6/23/2017,25.72,6E
6/22/2017,30.73,6E
6/21/2017,29.66,6E
6/20/2017,31.92,6E
6/19/2017,31.11,6E
6/16/2017,25.04,6E
6/15/2017,32.04,6E
6/14/2017,24.04,6E
6/13/2017,26.15,6E
6/12/2017,26.68,6E
6/9/2017,26.78,6E
6/8/2017,27.18,6E
6/7/2017,22.7,6E
6/6/2017,23.87,6E
6/5/2017,26.3,6E
6/2/2017,22.58,6E
6/1/2017,26.06,6E
5/31/2017,23.9,6E
5/30/2017,25.98,6E
5/29/2017,27.58,6E
5/26/2017,27.57,6E
5/25/2017,26.14,6E
5/24/2017,27.12,6E
5/23/2017,28.2,6E
5/22/2017,24.99,6E
5/19/2017,22.48,6E
5/18/2017,26.9,6E
5/17/2017,24.67,6E
5/16/2017,24.86,6E
5/15/2017,29.33,6E
5/12/2017,33.9,6E
5/11/2017,39.42,6E
5/10/2017,39.84,6E
5/9/2017,39.05,6E
5/8/2017,36.27,6E
5/5/2017,32.28,6E
5/4/2017,28.95,6E
5/3/2017,36.82,6E
5/2/2017,33.16,6E
5/1/2017,35.39,6E
4/28/2017,35.45,6E
4/27/2017,38.01,6E
4/26/2017,35.21,6E
4/25/2017,29.5,6E
4/24/2017,35.71,6E
4/21/2017,46.96,6E
4/20/2017,45.37,6E
4/19/2017,46.58,6E
4/18/2017,46.98,6E
4/17/2017,55.55,6E
4/14/2017,60.08,6E
4/13/2017,59.85,6E
4/12/2017,54.83,6E
4/11/2017,58.34,6E
4/10/2017,59.79,6E
4/7/2017,60.99,6E
4/6/2017,53.47,6E
4/5/2017,51.52,6E
4/4/2017,50.44,6E
4/3/2017,51.48,6E
3/31/2017,49.69,6E
3/30/2017,48.3,6E
3/29/2017,41.19,6E
3/28/2017,37.16,6E
3/27/2017,31.72,6E
3/24/2017,32.38,6E
3/23/2017,34.76,6E
3/22/2017,32.48,6E
3/21/2017,29.7,6E
3/20/2017,37.19,6E
3/17/2017,36.28,6E
3/16/2017,35.31,6E
3/15/2017,38.24,6E
3/14/2017,46.6,6E
3/13/2017,40.38,6E
3/10/2017,36.5,6E
3/9/2017,48.17,6E
3/8/2017,53.12,6E
3/7/2017,50.2,6E
3/6/2017,47.95,6E
3/3/2017,45.3,6E
3/2/2017,58.2,6E
3/1/2017,52.55,6E
2/28/2017,46.88,6E
2/27/2017,47.08,6E
2/24/2017,51.97,6E
2/23/2017,51.85,6E
2/22/2017,54.91,6E
2/21/2017,59.15,6E
2/20/2017,49.12,6E
2/17/2017,48.44,6E
2/16/2017,41.14,6E
2/15/2017,48.65,6E
2/14/2017,54.1,6E
2/13/2017,53.33,6E
2/10/2017,49.37,6E
2/9/2017,47.4,6E
2/8/2017,42.52,6E
2/7/2017,44.92,6E
2/6/2017,41.24,6E
2/3/2017,34.64,6E
2/2/2017,36.25,6E
2/1/2017,35.93,6E
1/31/2017,31.21,6E
1/30/2017,40.3,6E
1/27/2017,41.02,6E
1/26/2017,43.56,6E
1/25/2017,36.74,6E
1/24/2017,38.42,6E
1/23/2017,36.15,6E
1/20/2017,39.13,6E
1/19/2017,43.53,6E
1/18/2017,44.74,6E
1/17/2017,37.35,6E
1/16/2017,46.63,6E
1/13/2017,43.77,6E
1/12/2017,43.09,6E
1/11/2017,46.74,6E
1/10/2017,46.54,6E
1/9/2017,46.41,6E
1/6/2017,48.51,6E
1/5/2017,43.2,6E
1/4/2017,49.26,6E
1/3/2017,58.37,6E
12/30/2016,51.68,6E
12/29/2016,49.29,6E
12/28/2016,58.89,6E
12/27/2016,51.91,6E
12/23/2016,53.22,6E
12/22/2016,55.48,6E
12/21/2016,56.79,6E
12/20/2016,59.9,6E
12/19/2016,62.02,6E
12/16/2016,58.33,6E
12/15/2016,61.07,6E
12/14/2016,63.31,6E
12/13/2016,56.96,6E
12/12/2016,56.04,6E
12/9/2016,66.02,6E
12/8/2016,62.96,6E
12/7/2016,48.87,6E
12/6/2016,53.15,6E
12/5/2016,47.62,6E
12/2/2016,59.04,6E
12/1/2016,59.57,6E
11/30/2016,66.85,6E
11/29/2016,61.12,6E
11/28/2016,66.12,6E
11/25/2016,64.33,6E
11/24/2016,67.47,6E
11/23/2016,70.23,6E
11/22/2016,67.06,6E
11/21/2016,66.05,6E
11/18/2016,70.41,6E
11/17/2016,71.53,6E
11/16/2016,68.58,6E
11/15/2016,67.14,6E
11/14/2016,65.57,6E
11/11/2016,63.74,6E
11/10/2016,60.68,6E
11/9/2016,57.24,6E
